ts,service,region,tenant,requests,errors,p50_ms,p95_ms,p99_ms,bytes_in,bytes_out
2026-07-10T00:18:00Z,alerting,us-east-1,t-02012,2308,17,20.90,38.67,54.27,3837063,4632111
2026-07-10T00:26:00Z,ingest-api,ap-southeast-2,t-03041,9866,117,33.11,92.66,123.19,20825145,67546287
2026-07-10T00:03:00Z,alerting,eu-central-1,t-03002,10862,51,68.27,154.16,275.54,21577723,71857025
2026-07-10T00:54:00Z,billing,ap-southeast-2,t-02082,2497,33,36.82,93.84,157.80,5721395,4172431
2026-07-10T00:34:00Z,query-api,us-west-2,t-01774,4354,36,61.05,119.50,221.56,5816746,25434235
2026-07-10T00:12:00Z,ingest-api,eu-central-1,t-00920,2311,14,63.70,135.03,201.68,4797328,16923173
2026-07-10T00:24:00Z,billing,ap-southeast-2,t-00180,39,0,77.53,148.94,213.51,77119,79653
2026-07-10T00:05:00Z,ingest-api,us-west-2,t-00015,7851,67,55.02,122.72,256.65,18426316,45741195
2026-07-10T00:18:00Z,alerting,us-west-2,t-03862,8766,96,50.31,111.46,205.66,21109771,64331200
2026-07-10T00:28:00Z,alerting,us-west-2,t-03376,9411,96,59.23,133.08,241.54,3976986,21966724
2026-07-10T00:54:00Z,billing,us-east-1,t-01586,7504,54,27.22,60.71,89.68,16216694,24154768
2026-07-10T00:24:00Z,exporter,us-east-1,t-00132,116,1,79.18,159.85,213.63,206036,354210
2026-07-10T00:24:00Z,ingest-api,ap-southeast-2,t-02534,4184,58,32.16,61.77,129.59,4992647,6717982
2026-07-10T00:03:00Z,exporter,ap-southeast-2,t-01767,4259,10,24.05,50.68,88.41,7364554,24031628
2026-07-10T00:43:00Z,query-api,us-west-2,t-00220,6648,77,20.53,53.04,94.79,2788956,37820906
2026-07-10T00:27:00Z,ingest-api,eu-central-1,t-03660,5928,6,32.19,83.25,125.36,9421030,44487085
2026-07-10T00:02:00Z,query-api,us-west-2,t-00086,2404,24,56.29,139.80,188.39,2013477,15241283
2026-07-10T00:25:00Z,billing,us-west-2,t-02085,8272,87,66.30,166.33,320.31,15888357,19156257
2026-07-10T00:56:00Z,query-api,ap-southeast-2,t-02452,10284,119,67.88,161.19,263.29,14931904,60133624
2026-07-10T00:24:00Z,exporter,eu-central-1,t-00707,5589,39,47.41,93.95,142.40,5043738,31314773
